rho,eta,delta,ecs_ensemble,ecr_plateau,scenario,policy,model
0.0026869409902552438,0.5987747743715183,1.1912336676864141,869.4805328086663,0.0,0,no_abatement,JUSTICE_A2_traceable
0.01760649038340497,0.5207223877007435,1.0006888567717054,62.317585942282136,0.0,1,no_abatement,JUSTICE_A2_traceable
0.025525279783905338,0.9390300642768179,1.837476261851871,365.49506293121885,0.0,2,no_abatement,JUSTICE_A2_traceable
0.027587068157077625,1.0499712979461002,1.9482715390517409,603.8787960473487,0.0,3,no_abatement,JUSTICE_A2_traceable
0.009629147616495002,1.2020694036740078,1.7711222149627734,262.27680097051785,0.0,4,no_abatement,JUSTICE_A2_traceable
0.018813584610546018,0.8194372868732411,1.0239363115823576,746.351035834913,0.0,5,no_abatement,JUSTICE_A2_traceable
0.02977638957634422,0.8853130261652183,1.98649682233278,954.0273109118616,0.0,6,no_abatement,JUSTICE_A2_traceable
0.015770103295627915,1.362547990464792,1.4535239790319934,543.6592987528924,0.0,7,no_abatement,JUSTICE_A2_traceable
0.028943323621716685,0.7464894250902322,1.136543262852225,456.896085934831,0.0,8,no_abatement,JUSTICE_A2_traceable
0.017150951679708457,0.7088617047280286,0.8952620428038593,528.1170800239508,0.0,9,no_abatement,JUSTICE_A2_traceable
0.012182639773111396,1.192879690697206,1.5601480129839043,689.7681176601486,0.0,10,no_abatement,JUSTICE_A2_traceable
0.008696288383537955,1.47776189412583,1.8020981045946305,875.6710843403658,0.0,11,no_abatement,JUSTICE_A2_traceable
0.011132528562005403,0.9927557718046953,0.6271153641616622,891.4633784513422,0.0,12,no_abatement,JUSTICE_A2_traceable
0.019655318246675237,0.6088963369958962,1.065172552762708,34.45466123944846,0.0,13,no_abatement,JUSTICE_A2_traceable
0.00906972679037649,0.8230089455891161,1.2862696420178659,235.88779421584437,0.0,14,no_abatement,JUSTICE_A2_traceable
0.026532065565087602,1.4577809348382393,1.1594063323764485,693.5710081799167,0.0,15,no_abatement,JUSTICE_A2_traceable
0.0065971471804764864,0.7892010259652342,0.5481489603853663,553.2989918866846,0.0,16,no_abatement,JUSTICE_A2_traceable
0.014353431991105833,0.7212789728733436,1.6764182555010403,227.3637474064167,0.0,17,no_abatement,JUSTICE_A2_traceable
0.02935618409258856,0.5805520259990247,1.6572186910084354,96.73421797326068,0.0,18,no_abatement,JUSTICE_A2_traceable
0.0030296163198000993,1.391387045328309,0.5967309412045386,494.72750697044586,0.0,19,no_abatement,JUSTICE_A2_traceable
0.02958972179894496,1.0072731117179017,1.098883955562985,481.9766823341722,0.0,20,no_abatement,JUSTICE_A2_traceable
0.013671616419646405,0.7102193047507754,1.4972311504542657,564.4961443157076,0.0,21,no_abatement,JUSTICE_A2_traceable
0.010277438041568693,1.1031099526995947,0.7326199940822395,794.0555943074644,0.0,22,no_abatement,JUSTICE_A2_traceable
0.014240479316948256,1.4687857972943448,0.7908869977237676,846.9365954439297,0.0,23,no_abatement,JUSTICE_A2_traceable
0.005925013050273018,0.5554966065185483,1.2413919240234912,215.110044647578,0.0,24,no_abatement,JUSTICE_A2_traceable
0.003506879885857114,0.7371146619010954,0.9135482294695131,830.7727155770697,0.0,25,no_abatement,JUSTICE_A2_traceable
0.0014363803820426077,1.2472031559355194,0.8068270204269165,612.5515339170894,0.0,26,no_abatement,JUSTICE_A2_traceable
0.016309140528557368,1.275377075866625,0.7572877948017736,820.9917616909232,0.0,27,no_abatement,JUSTICE_A2_traceable
0.008441595795442477,0.7774007349147576,0.8338548018478361,52.229274785558175,0.0,28,no_abatement,JUSTICE_A2_traceable
0.02719234616907666,1.424932813488244,1.7137262195125569,739.5944600639525,0.0,29,no_abatement,JUSTICE_A2_traceable
0.010527547484594557,1.074073375843866,1.187967941247718,476.0941680385868,0.0,30,no_abatement,JUSTICE_A2_traceable
0.007823910063663482,0.8000301666432008,1.9305795149091534,808.1836792657549,0.0,31,no_abatement,JUSTICE_A2_traceable
0.0032961672654019517,1.2616614024916601,1.9633018895821035,77.2061986379443,0.0,32,no_abatement,JUSTICE_A2_traceable
0.01824240665582036,0.7982530635628532,0.6438527737705851,573.1208434699139,0.0,33,no_abatement,JUSTICE_A2_traceable
0.017314269625729295,1.1210225814689345,1.9196978418723771,911.5694941611376,0.0,34,no_abatement,JUSTICE_A2_traceable
0.014670013722544423,1.2965953682865468,1.0420226302011426,923.4063899454949,0.0,35,no_abatement,JUSTICE_A2_traceable
0.024492850071975006,1.015960518311669,0.6730984416078045,882.8072112024339,0.0,36,no_abatement,JUSTICE_A2_traceable
0.01592934475763437,0.8714060708401533,1.540975163660229,84.93634448840237,0.0,37,no_abatement,JUSTICE_A2_traceable
0.003747698673665003,1.4414206437228714,0.8820175250445608,852.8507210409589,0.0,38,no_abatement,JUSTICE_A2_traceable
0.016792559421270874,1.0214088294659442,0.70473183715662,839.9905896773821,0.0,39,no_abatement,JUSTICE_A2_traceable
0.005632318249781619,1.1883654732100166,0.6514172525254956,289.208914111122,0.0,40,no_abatement,JUSTICE_A2_traceable
0.011696474748385182,0.8548529911920767,1.5675990102514934,994.5477000859605,0.0,41,no_abatement,JUSTICE_A2_traceable
0.018472336312534112,1.0617547208788813,1.279758628219209,381.38717361987295,0.0,42,no_abatement,JUSTICE_A2_traceable
0.0011544452602036558,0.5466117971112135,1.7188715726124402,309.87010137662134,0.0,43,no_abatement,JUSTICE_A2_traceable
0.013385878343416067,0.8490530439303763,0.506063782746901,242.75412346134306,0.0,44,no_abatement,JUSTICE_A2_traceable
0.011355932886745964,0.63513045506425,0.8527588371730355,187.63893015308733,0.0,45,no_abatement,JUSTICE_A2_traceable
0.019097666370661202,0.8655982826505453,1.0743903980140754,105.04249715082986,0.0,46,no_abatement,JUSTICE_A2_traceable
0.028339011789564737,1.144055854118077,1.6537982630897365,11.873874162907772,0.0,47,no_abatement,JUSTICE_A2_traceable
0.02011679508996223,1.0564996733340268,1.8980273758790114,417.6039853272887,0.0,48,no_abatement,JUSTICE_A2_traceable
0.002026509688783058,1.2210143510372007,1.1100126398818446,501.9528988012505,0.0,49,no_abatement,JUSTICE_A2_traceable
0.012957468918974657,0.6279846555053907,1.3354831629205228,340.5027203392025,0.0,50,no_abatement,JUSTICE_A2_traceable
0.011830014323940399,0.6762002534089224,1.2157678429083756,649.8541991973627,0.0,51,no_abatement,JUSTICE_A2_traceable
0.020169617281468537,1.3037045948234103,1.4156587046367517,444.1825586879731,0.0,52,no_abatement,JUSTICE_A2_traceable
0.008015929327139118,1.4031156464524575,1.9708130689662586,987.4613073589032,0.0,53,no_abatement,JUSTICE_A2_traceable
0.0213049733333098,1.2165024064948204,1.3552141339573591,327.1052302739856,0.0,54,no_abatement,JUSTICE_A2_traceable
0.006027435348217466,1.2346965889017825,1.1684852708369071,512.9658036353441,0.0,55,no_abatement,JUSTICE_A2_traceable
0.02691977829581093,0.8389324150428248,1.507490955225425,192.4851573676039,0.0,56,no_abatement,JUSTICE_A2_traceable
0.015006622968246872,0.5032442925295806,1.262729295902918,355.0992336167414,0.0,57,no_abatement,JUSTICE_A2_traceable
0.0016421480471030887,0.6990247503367765,1.3713547044407477,149.2949210316055,0.0,58,no_abatement,JUSTICE_A2_traceable
0.007244715942884938,1.117891509517527,0.5867726841588934,252.68297607823058,0.0,59,no_abatement,JUSTICE_A2_traceable
0.0069760287087102975,1.0946067381677378,1.7399140671350106,274.8158631665576,0.0,60,no_abatement,JUSTICE_A2_traceable
0.025781279741219115,1.357756906755798,1.7799877106274478,122.90808308993796,0.0,61,no_abatement,JUSTICE_A2_traceable
0.016471720870294065,0.5344132358572704,1.3854577325579642,47.55996697978343,0.0,62,no_abatement,JUSTICE_A2_traceable
0.012749752423961883,0.5661994114651735,1.3131769036830223,631.1123478745486,0.0,63,no_abatement,JUSTICE_A2_traceable
0.022309552441262155,1.4145615413502224,0.9938390807737508,318.77860307952636,0.0,64,no_abatement,JUSTICE_A2_traceable
